Date,App_Name,Category,Minutes_Used
2026-07-26,Instagram,Social Media,85
2026-07-26,Twitter/X,Social Media,51
2026-07-26,Snapchat,Social Media,39
2026-07-26,YouTube,Entertainment,73
2026-07-26,Netflix,Entertainment,68
2026-07-26,Spotify,Entertainment,27
2026-07-26,Coursera,Education,1
2026-07-26,VS Code,Coding,11
2026-07-26,LeetCode,Coding,1
2026-07-26,WhatsApp,Communication,29
2026-07-27,Instagram,Social Media,55
2026-07-27,Twitter/X,Social Media,18
2026-07-27,Snapchat,Social Media,19
2026-07-27,YouTube,Entertainment,34
2026-07-27,Netflix,Entertainment,7
2026-07-27,Spotify,Entertainment,28
2026-07-27,Coursera,Education,22
2026-07-27,Khan Academy,Education,7
2026-07-27,VS Code,Coding,50
2026-07-27,LeetCode,Coding,25
2026-07-27,WhatsApp,Communication,22
2026-07-28,Instagram,Social Media,37
2026-07-28,Twitter/X,Social Media,19
2026-07-28,Snapchat,Social Media,9
2026-07-28,YouTube,Entertainment,43
2026-07-28,Netflix,Entertainment,25
2026-07-28,Spotify,Entertainment,39
2026-07-28,Coursera,Education,27
2026-07-28,Khan Academy,Education,12
2026-07-28,VS Code,Coding,70
2026-07-28,LeetCode,Coding,38
2026-07-28,WhatsApp,Communication,24
2026-07-29,Instagram,Social Media,20
2026-07-29,Twitter/X,Social Media,11
2026-07-29,Snapchat,Social Media,13
2026-07-29,YouTube,Entertainment,43
2026-07-29,Spotify,Entertainment,26
2026-07-29,Coursera,Education,7
2026-07-29,Khan Academy,Education,10
2026-07-29,VS Code,Coding,80
2026-07-29,LeetCode,Coding,26
2026-07-29,WhatsApp,Communication,17
2026-07-30,Instagram,Social Media,7
2026-07-30,Twitter/X,Social Media,2
2026-07-30,YouTube,Entertainment,15
2026-07-30,Spotify,Entertainment,14
2026-07-30,Coursera,Education,39
2026-07-30,Khan Academy,Education,26
2026-07-30,VS Code,Coding,120
2026-07-30,LeetCode,Coding,67
2026-07-30,WhatsApp,Communication,11
2026-07-31,Instagram,Social Media,28
2026-07-31,Twitter/X,Social Media,12
2026-07-31,Snapchat,Social Media,16
2026-07-31,YouTube,Entertainment,53
2026-07-31,Spotify,Entertainment,30
2026-07-31,Coursera,Education,22
2026-07-31,Khan Academy,Education,4
2026-07-31,VS Code,Coding,64
2026-07-31,LeetCode,Coding,21
2026-07-31,WhatsApp,Communication,17
2026-08-01,Instagram,Social Media,61
2026-08-01,Twitter/X,Social Media,12
2026-08-01,Snapchat,Social Media,15
2026-08-01,YouTube,Entertainment,96
2026-08-01,Netflix,Entertainment,43
2026-08-01,Spotify,Entertainment,22
2026-08-01,Khan Academy,Education,4
2026-08-01,VS Code,Coding,25
2026-08-01,LeetCode,Coding,13
2026-08-01,WhatsApp,Communication,21
2026-08-02,Instagram,Social Media,66
2026-08-02,Twitter/X,Social Media,18
2026-08-02,Snapchat,Social Media,29
2026-08-02,YouTube,Entertainment,64
2026-08-02,Netflix,Entertainment,55
2026-08-02,Spotify,Entertainment,32
2026-08-02,Coursera,Education,2
2026-08-02,Khan Academy,Education,6
2026-08-02,VS Code,Coding,31
2026-08-02,LeetCode,Coding,3
2026-08-02,WhatsApp,Communication,44
